image,distance_mm
img_000095.png,19.111554
img_000096.png,19.236919
img_000097.png,19.456134
img_000098.png,19.618414
img_000099.png,19.859635
img_000100.png,20.004489
img_000101.png,20.210394
img_000102.png,20.466231
img_000103.png,20.641243
img_000104.png,20.865081
img_000105.png,21.031097
img_000106.png,21.233988
img_000107.png,21.456034
img_000108.png,21.618947
img_000109.png,21.862011
img_000110.png,22.001590
img_000111.png,22.222622
img_000112.png,22.484322
img_000113.png,22.613177
img_000114.png,22.869796
img_000115.png,23.005314
img_000116.png,23.208279
img_000117.png,23.461377
img_000118.png,23.623417
img_000119.png,23.862547
img_000120.png,24.041965
img_000121.png,24.241808
img_000122.png,24.462336
img_000123.png,24.613944
img_000124.png,24.865806
img_000125.png,25.000284
img_000126.png,25.234335
img_000127.png,25.483757
img_000128.png,25.620993
img_000129.png,25.860815
img_000130.png,26.116059
img_000131.png,26.236335
img_000132.png,26.467910
img_000133.png,26.613822
img_000134.png,26.868940
img_000135.png,27.030947
img_000136.png,27.264161
img_000137.png,27.494237
img_000138.png,27.621242
img_000139.png,27.800654
img_000140.png,28.119136
img_000141.png,28.302522
img_000142.png,28.502356
img_000143.png,28.613326
img_000144.png,28.868726
img_000145.png,29.004024
img_000146.png,29.252486
img_000147.png,29.406872
img_000148.png,29.603945
img_000149.png,29.830699
img_000150.png,30.104254
img_000151.png,30.244339
img_000152.png,30.500926
img_000153.png,30.666610
img_000154.png,30.855067
img_000155.png,31.011849
img_000156.png,31.251644
img_000157.png,31.418762
img_000158.png,31.617847
img_000159.png,31.857598
img_000160.png,32.000043
img_000161.png,32.242006
img_000162.png,32.402299
img_000163.png,32.630316
img_000164.png,32.838675
img_000165.png,33.094746
img_000166.png,33.254226
img_000167.png,33.425086
img_000168.png,33.603839
img_000169.png,33.877850
img_000170.png,34.052508
img_000171.png,34.225306
img_000172.png,34.479623
img_000173.png,34.628710
img_000174.png,34.808573
img_000175.png,35.001285
img_000176.png,35.248929
img_000177.png,35.495073
img_000178.png,35.638525
img_000179.png,35.873347
img_000180.png,36.005108
img_000181.png,36.246154
img_000182.png,36.402942
img_000183.png,36.601998
img_000184.png,36.859328
img_000185.png,37.002514
img_000186.png,37.252736
img_000187.png,37.403858
img_000188.png,37.619099
img_000189.png,37.839008
img_000190.png,38.005594
img_000191.png,38.241986
img_000192.png,38.404160
img_000193.png,38.606337
img_000194.png,38.859302
img_000195.png,39.002274
img_000196.png,39.250777
img_000197.png,39.426464
img_000198.png,39.622128
img_000199.png,39.852493
img_000200.png,40.005746
img_000201.png,40.243166
img_000202.png,40.400387
img_000203.png,40.626943
img_000204.png,40.857049
img_000205.png,41.089058
img_000206.png,41.247559
img_000207.png,41.483595
img_000208.png,41.620148
img_000209.png,41.875824
img_000210.png,42.034842
img_000211.png,42.224432
img_000212.png,42.475762
img_000213.png,42.629632
img_000214.png,42.882932
img_000215.png,43.025741
img_000216.png,43.254251
img_000217.png,43.500647
img_000218.png,43.636741
img_000219.png,43.875786
img_000220.png,44.014383
img_000221.png,44.233370
img_000222.png,44.477977
img_000223.png,44.628940
img_000224.png,44.880667
img_000225.png,45.036105
img_000226.png,45.250763
img_000227.png,45.401154
img_000228.png,45.616692
img_000229.png,45.851625
img_000230.png,46.006211
img_000231.png,46.260901
img_000232.png,46.413809
img_000233.png,46.604907
img_000234.png,46.885152
img_000235.png,47.014167
img_000236.png,47.252286
img_000237.png,47.509814
img_000238.png,47.650017
img_000239.png,47.869638
img_000240.png,48.003178
img_000241.png,48.263153
img_000242.png,48.416757
img_000243.png,48.625813
img_000244.png,48.849766
img_000245.png,49.013761
img_000246.png,49.207675
img_000247.png,49.508073
img_000248.png,49.633786
img_000249.png,49.875568
img_000250.png,50.053134
img_000251.png,50.258429
img_000252.png,50.491816
img_000253.png,50.628059
img_000254.png,50.885509
img_000255.png,51.041605
img_000256.png,51.247463
img_000257.png,51.486254
img_000258.png,51.636683
img_000259.png,51.810404
img_000260.png,52.011271
img_000261.png,52.260557
img_000262.png,52.480442
img_000263.png,52.629081
img_000264.png,52.810564
img_000265.png,53.011732
img_000266.png,53.269609
img_000267.png,53.465523
img_000268.png,53.636608
img_000269.png,53.893967
img_000270.png,54.028950
img_000271.png,54.218127
img_000272.png,54.406299
img_000273.png,54.613042
img_000274.png,54.849551
img_000275.png,55.013996
img_000276.png,55.268132
img_000277.png,55.428256
img_000278.png,55.618030
img_000279.png,55.867478
img_000280.png,56.007858
img_000281.png,56.258334
img_000282.png,56.492752
img_000283.png,56.646637
img_000284.png,56.809237
img_000285.png,57.008958
img_000286.png,57.245724
img_000287.png,57.475935
img_000288.png,57.638634
img_000289.png,57.822809
img_000290.png,58.017925
img_000291.png,58.234013
img_000292.png,58.463714
img_000293.png,58.618409
img_000294.png,58.888289
img_000295.png,59.012626
img_000296.png,59.267265
img_000297.png,59.400750
img_000298.png,59.616306
img_000299.png,59.851801
img_000300.png,60.021496
img_000301.png,60.258953
img_000302.png,60.516377
img_000303.png,60.664508
img_000304.png,60.885187
img_000305.png,61.012687
img_000306.png,61.226912
img_000307.png,61.409595
img_000308.png,61.637131
img_000309.png,61.894009
img_000310.png,62.058559
img_000311.png,62.253224
img_000312.png,62.403836
img_000313.png,62.645650
img_000314.png,62.826988
img_000315.png,63.014978
img_000316.png,63.267645
img_000317.png,63.425102
img_000318.png,63.628093
img_000319.png,63.848308
img_000320.png,64.016333
img_000321.png,64.261080
img_000322.png,64.517483
img_000323.png,64.674720
img_000324.png,64.898356
img_000325.png,65.003724
img_000326.png,65.230646
img_000327.png,65.413312
img_000328.png,65.636857
img_000329.png,65.805766
img_000330.png,66.017814
img_000331.png,66.275863
img_000332.png,66.436575
img_000333.png,66.621683
